id,name,overview,genres,number_of_seasons,number_of_episodes,first_air_date,last_air_date,networks,vote_count,vote_average,languages,popularity,backdrop_path,watchlisted_rating
127,Pretty Little Liars,"Based on the Pretty Little Liars series of young adult novels by Sara Shepard, the series follows the lives of four girls — Spencer, Hanna, Aria, and Emily — whose clique falls apart after the disappearance of their queen bee, Alison. One year later, they begin receiving messages from someone using the name ""A"" who threatens to expose their secrets — including long-hidden ones they thought only Alison knew.","['Drama', 'Mystery']",7,161,2010-06-08,2017-06-27,"['ABC Family', 'Freeform']",9999,8.028,['en'],509.785,/ypLoTftyF5EpGBxJas4PThIdiU4.jpg,1.055074694176618
128,House of Cards,"Set in present day Washington, D.C., House of Cards is the story of Frank Underwood, a ruthless and cunning politician, and his wife Claire who will stop at nothing to conquer everything. This wicked political drama penetrates the shadowy world of greed, sex and corruption in modern D.C.",['Drama'],6,73,2013-02-01,2018-11-02,['Netflix'],2403,8.045,['en'],67.655,/ex4kvQb0Ski5KL2fsnKQU2hV3oo.jpg,1.0477168273365949
129,Outlander,"The story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world where her life is threatened. When she is forced to marry Jamie, a chivalrous and romantic young Scottish warrior, a passionate affair is ignited that tears Claire's heart between two vastly different men in two irreconcilable lives.","['Drama', 'Sci-Fi']",8,83,2014-08-09,2023-08-11,['Starz'],2403,8.217,"['fr', 'gd', 'en']",141.529,/nf3Vlxm3C9U1aKUUQHmKFZmxPSc.jpg,1.07011673961775
130,Moon Knight,"When Steven Grant, a mild-mannered gift-shop employee, becomes plagued with blackouts and memories of another life, he discovers he has dissociative identity disorder and shares a body with mercenary Marc Spector. As Steven/Marc’s enemies converge upon them, they must navigate their complex identities while thrust into a deadly mystery among the powerful gods of Egypt.","['Action', 'Sci-Fi', 'Mystery']",1,6,2022-03-30,2022-05-04,['Disney+'],2392,7.816,['en'],49.843,/iux1vKPT7Vw1AzetZb4Jz6wfYsm.jpg,1.0132341666417637
131,Modern Family,"The Pritchett-Dunphy-Tucker clan is a wonderfully large and blended family. They give us an honest and often hilarious look into the sometimes warm, sometimes twisted, embrace of the modern family.",['Comedy'],11,250,2009-09-23,2020-04-08,['ABC'],2346,7.841,['en'],168.723,/x4lxFIhhrDI4nWtV8osnYwbGESV.jpg,0.9969274666673432
132,Peacemaker,"The continuing story of Peacemaker – a compellingly vainglorious man who believes in peace at any cost, no matter how many people he has to kill to get it – in the aftermath of the events of “The Suicide Squad.”","['Action', 'Sci-Fi', 'Drama']",1,-1,2022-01-13,2022-02-17,['HBO Max'],2334,8.326,['en'],49.988,/ctxm191q5o3axFzQsvNPlbKoSYv.jpg,1.053176980735965
133,Locked Up,"Set up to take the blame for corporate fraud, young Macarena Ferreiro is locked up in a high-security women's prison surrounded by tough, ruthless criminals in this tense, provocative Spanish thriller.",['Drama'],4,40,2015-04-20,2019-02-04,"['FOX España', 'Antena 3']",2318,8.017,"['pt', 'es']",104.169,/iukGFUQQWUdgwTGGDLb1Pw3GoZP.jpg,1.0071390032931096
134,Blindspot,"A vast international plot explodes when a beautiful Jane Doe is discovered naked in Times Square, completely covered in mysterious, intricate tattoos with no memory of who she is or how she got there. But there's one tattoo that is impossible to miss: the name of FBI agent Kurt Weller, emblazoned across her back. ""Jane,"" Agent Weller and the rest of the FBI quickly realize that each mark on her body is a crime to solve, leading them closer to the truth about her identity and the mysteries to be revealed.","['Crime', 'Drama', 'Action']",5,100,2015-09-21,2020-07-23,['NBC'],2293,7.378,['en'],67.007,/u7G2G7jrBfHfIyj8ifzkq8I4tq3.jpg,0.9168679789656436
135,Boruto: Naruto Next Generations,"The life of the shinobi is beginning to change. Boruto Uzumaki, son of Seventh Hokage Naruto Uzumaki, has enrolled in the Ninja Academy to learn the ways of the ninja. Now, as a series of mysterious events unfolds, Boruto’s story is about to begin!","['Action', 'Animation']",1,293,2017-04-05,2023-03-26,['TV Tokfo'],2293,7.89,['??'],149.166,/3XlKckxPEa4lg5w4vHnyE35PUyI.jpg,0.9804944909242246
136,The Sopranos,"The story of New Jersey-based Italian-American mobster Tony Soprano and the difficulties he faces as he tries to balance the conflicting requirements of his home life and the criminal organization he heads. Those difficulties are often highlighted through his ongoing professional relationship with psychiatrist Jennifer Melfi. The show features Tony's family members and Mafia associates in prominent roles and story arcs, most notably his wife Carmela and his cousin and protégé Christopher Moltisanti.",['Drama'],6,86,1999-01-10,2007-06-10,['HBO'],2292,8.6,['en'],156.471,/lNpkvX2s8LGB0mjGODMT4o6Up7j.jpg,1.0682604858178926
137,Seven Deadly Sins,"The series traces the history of the seven deadly sins, how they became part of religious doctrine, and looks at historical figures who have been the worst perpetrators of each. Each of the seven sins is explored, from their origins and nature, their opposing virtue, and their corresponding punishment.",['Documentary'],1,7,2008-12-29,2009-01-04,['History'],2282,7.7,['en'],7.537,/6GdneIKJFjv5ArM5b6kKJQ4o8z4.jpg,0.9522927219296908
138,Fargo,"A close-knit anthology series dealing with stories involving malice, violence and murder based in and around Minnesota.","['Crime', 'Drama']",5,51,2014-04-15,2020-11-29,['FX'],2278,8.313,['en'],133.703,/FtK35pwgGHTFu8hySVlFmfF8td.jpg,1.0263030041590686
139,Shameless,"Chicagoan Frank Gallagher is the proud single dad of six smart, industrious, independent kids, who without him would be... perhaps better off. When Frank's not at the bar spending what little money they have, he's passed out on the floor. But the kids have found ways to grow up in spite of him. They may not be like any family you know, but they make no apologies for being exactly who they are.","['Drama', 'Comedy']",11,134,2011-01-09,2021-04-11,['Showtime'],2268,8.2,['en'],271.993,/bFVx0ydejF6NE8SEAVz95ns0o6A.jpg,1.007908255765597
140,Control Z,"When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity.",['Drama'],3,24,2020-05-22,2022-07-06,['Netflix'],2242,8.227,['es'],20.708,/gFFedWBZ7s5sPiR9A1IpileWuFf.jpg,0.9996344289398396
141,Dahmer – Monster: The Jeffrey Dahmer Story,This series examines the gruesome and horrific true crimes of Jeffrey Dahmer and the systemic failures that enabled one of America’s most notorious serial killers to continue his murderous spree in plain sight for over a decade.,"['Crime', 'Drama']",1,10,2022-09-21,2022-09-21,['Netflix'],2228,8.061,['en'],59.532,/5vUux2vNUTqwCzb7tVcH18XnsF.jpg,0.9733481495456722
142,The Book of Boba Fett,Legendary bounty hunter Boba Fett and mercenary Fennec Shand must navigate the galaxy’s underworld when they return to the sands of Tatooine to stake their claim on the territory once ruled by Jabba the Hutt and his crime syndicate.,"['Action', 'Sci-Fi']",1,7,2021-12-29,2022-02-09,['Disney+'],2223,7.71,['en'],47.62,/oMWnpUUCeIqvTdP3IYZ0JnPdrmU.jpg,0.9288764251995404
143,Orange Is the New Black,"A crime she committed in her youthful past sends Piper Chapman to a women's prison, where she trades her comfortable New York life for one of unexpected camaraderie and conflict in an eccentric group of fellow inmates.","['Comedy', 'Drama']",-1,91,2013-07-11,2019-07-26,['Netflix'],2222,7.688,['en'],103.656,/z8Mg3YVZGd1iSnoDinEAoh9WTck.jpg,0.9258092789104064
144,The Lord of the Rings: The Rings of Power,"Beginning in a time of relative peace, we follow an ensemble cast of characters as they confront the re-emergence of evil to Middle-earth. From the darkest depths of the Misty Mountains, to the majestic forests of Lindon, to the breathtaking island kingdom of Númenor, to the furthest reaches of the map, these kingdoms and characters will carve out legacies that live on long after they are gone.","['Action', 'Sci-Fi', 'Drama']",1,8,2022-09-01,2022-10-13,['Prime Video'],2210,7.408,"['en', 'tr']",127.962,/1rO4xoCo4Z5WubK0OwdVll3DPYo.jpg,0.8872731660403768
145,Marvel's The Punisher,A former Marine out to punish the criminals responsible for his family's murder finds himself ensnared in a military conspiracy.,"['Action', 'Crime', 'Drama']",2,26,2017-11-17,2019-01-18,['Netflix'],2207,8.119,['en'],48.888,/j5aOOtsJinQtyRaqiB12TTRHdeX.jpg,0.9711112257890196
146,Spartacus,"Torn from his homeland and the woman he loves, Spartacus is condemned to the brutal world of the arena where blood and death are primetime entertainment.",['Drama'],3,33,2010-01-22,2013-04-12,['Starz'],2192,7.997,['en'],163.932,/xyHrlFr8W9bGysDsYQRRfD3cdoR.jpg,0.9500178070512106
147,Chicago P.D.,"A riveting police drama about the men and women of the Chicago Police Department's District 21 who put it all on the line to serve and protect their community. District 21 is made up of two distinctly different groups: the uniformed cops who patrol the beat and go head-to-head with the city's street crimes and the Intelligence Unit that combats the city's major offenses - organized crime, drug trafficking, high profile murders and beyond.","['Crime', 'Drama']",10,208,2014-01-08,2023-05-24,['NBC'],2186,8.453,['en'],755.394,/qSrSg6dZeZy6uJ6SfSKbEAwk3Wo.jpg,1.0014404434102622
148,Marvel's Iron Fist,"Danny Rand resurfaces 15 years after being presumed dead. Now, with the power of the Iron Fist, he seeks to reclaim his past and fulfill his destiny.","['Action', 'Drama', 'Sci-Fi']",2,23,2017-03-17,2018-09-07,['Netflix'],2179,6.529,['en'],10.22,/xHCfWGlxwbtMeeOnTvxUCZRGnkk.jpg,0.7710241811376801
149,Fast & Furious Spy Racers,A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.,"['Animation', 'Action', 'Kids', 'Family']",6,52,2019-12-26,2021-12-17,['Netflix'],2166,6.976,['en'],41.373,/9aWSpBqMrlrr8yaydSEgNJjIruG.jpg,0.818896517354404
150,9-1-1,"Explore the high-pressbre experiences of police officers, paramedics and firefighters who are thrust into the most frightening, shocking and heart-stopping situations. These emergency responders must try to balance saving those who are at their most vulnerable with solving the problems in their own lives.","['Drama', 'Crime', 'Action']",6,96,2018-01-03,2023-05-15,['FOX'],2165,8.224,['en'],239.165,/w6H16UchlNJ4Okiu1Qasa0btOAk.jpg,0.9649506483404432
151,See,"A virus has decimated humankind. Those who survived emerged blind. Centuries later when twins are born with the mythic ability to see, their father must protect his tribe against a threatened queen.","['Drama', 'Sci-Fi', 'Action']",3,24,2019-11-01,2022-10-13,['Apple TV+'],2163,8.2,['en'],197.199,/wNKwOtq27yfN13SKKV07NwkpBA3.jpg,0.96124583651719
152,Fringe,"FBI Special Agent Olivia Dunham, brilliant but formerly institutionalized scientist Walter Bishop and his scheming, reluctant son Peter uncover a deadly mystery involving a series of unbelievable events and realize they may be a part of a larger, more disturbing pattern that blurs the line between science fiction and technology.","['Sci-Fi', 'Drama', 'Mystery']",5,100,2008-09-09,2013-01-18,['FOX'],2154,8.119,['en'],190.366,/2yZXtM2Kky1Sy0kachbDlwybl3y.jpg,0.9477904759173305
153,DC's Legends of Tomorrow,"When heroes alone are not enough ... the world needs legends. Having seen the future, one he will desperately try to prevent from happening, time-traveling rogue Rip Hunter is tasked with assembling a disparate group of both heroes and villains to confront an unstoppable threat — one in which not only is the planet at stake, but all of time itself. Can this ragtag team defeat an immortal threat unlike anything they have ever known?","['Action', 'Sci-Fi', 'Drama']",7,110,2016-01-21,2022-03-02,['The CW'],2130,7.332,['en'],173.189,/isPWZirQUCHpQ8aJZHa5s3EVXv1.jpg,0.8463814952258492
154,Young Sheldon,"The early life of child genius Sheldon Cooper, later seen in The Big Bang Theory.","['Comedy', 'Family']",6,127,2017-09-25,2023-05-18,['CBS'],2124,8.057,['en'],297.324,/fXRgyxFxT3SG45fDqUODDRNE9IJ.jpg,0.9274531401190506
155,The Pacific,"Track the intertwined real-life stories of three U.S. Marines – Robert Leckie, John Basilone, and Eugene Sledge – across the vast canvas of the Pacific Theater during World War II. A companion piece to the 2001 miniseries Band of Brothers.","['Drama', 'Action', 'War & Politics']",1,10,2010-03-14,2010-05-16,['HBO'],2123,7.738,['en'],57.386,/nWfpVLgioDXQsAbfL6UJxYz6d3d.jpg,0.8903132145250693
156,Hannibal,"Both a gift and a curse, Graham has the extraordinary ability to think like his prey—he sees what they see, feels what they feel. But while Graham is pursuing an especially troubling, cannibalistic murderer, Special Agent Jack Crawford teams him with a highly respected psychiatrist – a man with a taste for the criminal minded – Dr. Hannibal Lecter.","['Drama', 'Crime']",3,39,2013-04-04,2015-08-27,['NBC'],2121,8.23,['en'],41.747,/mCwQJqyuCFlbFyJR5sWg3PqtHEN.jpg,0.9460293354110628
157,Mindhunter,An agent in the FBI's Elite Serial Crime Unit develops profiling techniques as he pursues notorious serial killers and rapists.,"['Drama', 'Crime']",-1,19,2017-10-13,2019-08-16,['Netflix'],2099,8.069,['en'],39.398,/a906PH7CDmSOdS7kmnAgdWk5mhv.jpg,0.917901868596308
158,BoJack Horseman,"Meet the most beloved sitcom horse of the 90s - 20 years later. BoJack Horseman was the star of the hit TV show ""Horsin' Around,"" but today he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","['Animation', 'Comedy', 'Drama']",6,76,2014-08-22,2020-01-31,['Netflix'],2083,8.558,['en'],78.876,/AmIHaw6CQWOfBCQYom15Jzsu7OB.jpg,0.9661079413725344
159,Tokyo Ghoul,"Ken Kaneki is a bookworm college student who meets a girl names Rize at a cafe he frequents. They're the same age and have the same interests, so they quickly become close. Little does Kaneki know that Rize is a ghoul – a kind of monster that lives by hunting and devouring human flesh. When part of her special organ – ""the red child"" – is transplanted into Kaneki, he becomes a ghoul himself, trapped in a warped world where humans are not the top of the food chain.","['Action', 'Animation', 'Drama', 'Mystery']",4,48,2014-07-04,2018-12-25,['Tokyo MX'],2072,8.374,['ja'],79.344,/yOarY3Yo0NMkuTuft87M5oAZa3C.jpg,0.9403441076480008
160,Charmed,"Three sisters (Prue, Piper and Phoebe) reunite and unlock their powers to become the Charmed Ones, the most powerful good witches of all time, whose prophesied destiny is to protect innocent lives from evil beings such as demons and warlocks. Each sister possesses unique magical powers that grow and evolve, while they attempt to maintain normal lives in modern day San Francisco. ","['Comedy', 'Drama', 'Mysthry', 'Sci-Fi']",8,178,32/13/2021,2006-05-21,['The WB'],2068,8.189,['en'],130.029,/ueZFcwAUvkjyAB9beaiqJyg0M8H.jpg,0.917794615486328
161,Marvel's Jessica Jones,"After a tragic ending to her short-lived super hero stint, Jessica Jones is rebuilding her personal life and career as a detective who gets pulled into cases involving people with extraordinary abilities in New York City.","['Sci-Fi', 'Drama']",3,39,2015-11-20,2019-06-14,['Netflix'],2059,7.529,['en'],28.684,/fjEOQhzZk2Or7VYUBeMx5ZIwU95.jpg,0.840151764180338
162,The Expanse,A thriller set two hundred years in the future following the case of a missing young woman who brings a hardened detective and a rogue ship's captain together in a race across the solar system to expose the greatest conspiracy in human history.,"['Drama', 'Mystery', 'Sci-Fi']",6,62,2015-12-14,2022-01-13,"['Syfy', 'Prime Video']",2058,8.054,['en'],106.253,/fYX29Hf2effFV4bOhhiKMkKNRUG.jpg,0.898299371058875
163,The Fresh Prince of Bel-Air,"Will, a street-smart teenager, moves from the tough streets of West Philly to posh Bel-Air to live with his Uncle Philip, Aunt Vivian, his cousins — spoiled Hilary, preppy Carlton and young Ashley — and their sophisticated British butler, Geoffrey. Though Will’s antics and upbringing contrast greatly with the upper-class lifestyle of his extended relatives, he soon finds himself right at home as a loved part of the family.","['Comedy', 'Family']",6,148,1990-09-10,1996-05-20,['NBC'],2056,7.955,['en'],130.923,/uxUT6MjhMkpaijKKJHh24W5VWDw.jpg,0.8863951971764694
164,Superman & Lois,"After years of facing megalomaniacal supervillains, monsters wreaking havoc on Metropolis, and alien invaders intent on wiping out the human race, The Man of Steel aka Clark Kent and Lois Lane come face to face with one of their greatest challenges ever: dealing with all the stress, pressures and complexities that come with being working parents in today's society.","['Sci-Fi', 'Drama']",3,43,2021-02-23,2023-06-27,['The CW'],2047,8.1,['en'],157.443,/qO8uNvhYrBRKKWZLUdHrvwuuQpG.jpg,0.8986011322091365
165,NCIS,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has a shred of evidence connected to Navy and Marine Corps personnel, regardless of rank or position.","['Crime', 'Drama', 'Action']",20,457,2003-09-23,2023-05-22,['CBS'],2047,7.631,['en'],754.614,/qmcoEOrTm6BcgR4iO7KBQKE9AKT.jpg,0.8465710172701136
166,Bridgerton,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",['Drama'],3,24,2020-12-25,2022-03-25,['Netflix'],2045,8.143,,-5.0,/aXa6J5vGZQQOLZZv8fK0w0cd2fm.jpg,0.9024888542123706
167,Heroes,Common people discover that they have super powers. Their lives intertwine as a devastating event must be prevented.,"['Sci-Fi', 'Drama']",4,78,2006-09-25,2010-02-08,['NBC'],2018,7.487,,64.842,/4DgAubucJP6y2yX2Yx4CLEgdIPA.jpg,0.8188287728433001
168,Chicago Fire,"An edge-of-your-seat view into the lives of everyday heroes committed to one of America's noblest professions. For the firefighters, rescue squad and paramedics of Chicago Firehouse 51, no occupation is more stressful or dangerous, yet so rewarding and exhilarating. These courageous men and women are among the elite who forge headfirst into danger when everyone else is running the other way and whose actions make the difference between life and death.",['Drama'],11,239,2012-10-10,2023-05-24,['NBC'],2008,8.4,['en'],257.093,/a1axm2xRYGB35X406AMI51IrhYp.jpg,0.914128174154164
169,Homeland,"CIA officer Carrie Mathison is tops in her field despite being bipolar, which makes her volatile and unpredictable. With the help of her long-time mentor Saul Berenson, Carrie fearlessly risks everything, including her personal well-being and even sanity, at every turn.","['Drama', 'War & Politics']",8,96,2011-10-02,2020-04-26,['Showtime'],1969,7.544,['en'],90.782,/391ixi0wVbFtFLQnOy8ZncWv2io.jpg,0.8050289449533792
170,The Kardashians,"The family you know and love is here with a brand new series, giving an all-access pass into their lives. Kris, Kourtney, Kim, Khloé, Kendall, and Kylie bring the cameras back to reveal the truth behind the headlines. From the intense pressures of running billion-dollar businesses to the hilarious joys of playtime and school drop-offs, this series brings viewers into the fold with a rivetingly honest story of love & life in the spotlight.",['Reality'],4,40,2022-04-14,2023-09-28,['Hulu'],1968,8.63,['en'],86.223,/hEUigxkQ6JTsKDUab8TL8trGOAc.jpg,0.9204495499742966
171,Ozark,"A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss.","['Crime', 'Drama']",4,44,2017-07-21,2022-04-29,['Netflix'],1968,8.244,['en'],68.006,/gD830J0sf5gEeZvzkRVPdGxJmSR.jpg,0.8792799640774162
172,Locked Up: The Oasis,"After a few years dedicating themselves to robbing jewelers, banks and casinos, it is time for Macarena and Zulema to separate.",['Drama'],1,8,2020-04-20,2020-06-08,['FOX España'],1966,7.86,['es'],20.921,/7wm4CH6LbsFul4wWmmfXGcStVsk.jpg,0.8374717371254565
173,The Haunting of Hill House,"The Crains, a fractured family, confront haunting memories of their old home and the terrifying events that drove them from it.","['Mystery', 'Drama']",1,10,2018-10-12,2018-10-12,['Netflix'],1953,8.1,['en'],47.223,/6YANELLOCepacNcfJ9lj43NvvrZ.jpg,0.8573365956054926
174,Once Upon a Time,"There is a town in Maine where every story book character you've ever known is trapped between two worlds, victims of a powerful curse. Only one knows the truth and only one can break the spell.    Emma Swan is a 28-year-old bail bonds collector who has been supporting herself since she was abandoned as a baby. Things change for her when her son Henry, whom she abandoned years ago, finds her and asks for her help explaining that she is from a different world where she is Snow White's missing daughter.","['Drama', 'Sci-Fi']",7,156,2011-10-23,2018-05-18,['ABC'],1948,7.315,['en'],625.792,/4043WFrLsGnZa3RL4Po9buc1EtF.jpg,0.7722668322537624
175,Halo,"Depicting an epic 26th-century conflict between humanity and an alien threat known as the Covenant, the series weaves deeply drawn personal stories with action, adventure and a richly imagined vision of the future.","['Action', 'Sci-Fi']",1,9,2022-03-24,2022-05-19,['Paramount+'],1926,8.3,['en'],91.325,/1qpUk27LVI9UoTS7S0EixUBj5aR.jpg,0.8663601644845402
176,Pasión de Gavilanes,The Reyes-Elizondo's idyllic lives are shattered by a murder charge against Eric and León.,['Drama'],2,259,2003-10-21,2022-05-31,['Telemundo'],1925,7.641,['es'],283.197,/qabMMIpNUUKYFqQxHEWErEEBD8G.jpg,0.7971591463918455
177,The Wire,"Told from the points of view of both the Baltimore homicide and narcotics detectives and their targets, the series captures a universe in which the national war on drugs has become a permanent, self-sustaining bureaucracy, and distinctions between good and evil are routinely obliterated.","['Crime', 'Drama']",5,60,2002-06-02,2008-03-09,['HBO'],1889,8.535,"['es', 'en', 'el', 'zh']",77.897,/oggnxmvofLtGQvXsO9bAFyCj3p6.jpg,0.8737749367138907
178,El juego de las llaves,"A casual encounter between Adriana and Sergio, two former high school friends, triggers the beginning of the game of the keys where four couples generate new sexual and emotional combinations in a dangerous and lustful game.",['Drama'],2,18,2019-08-16,2021-09-30,['Pantaya'],9999,7.483,['es'],25.334,/b3YoKUxr9fHNLgWEplNBYCtBy8K.jpg,0.7616149021102112
179,Sex and the City,"Based on the bestselling book by Candace Bushnell, Sex and thezCity tells the story of four best friends, all single and in their late thirties, as they pursue their careers and talk about their sex lives, all while trying to survive the New York social scene. ",['Comedy'],6,94,1998-06-06,2004-02-22,['HBO'],1871,7.4,['en'],91.846,/mXtL24G2Awyl3lKFtreMHnH5qFC.jpg,0.7503598832310083
180,American Dad!,"The series focuses on an eccentric motley crew that is the Smith family and their three housemates: Father, husband, and breadwinner Stan Smith; his better half housewife, Francine Smith; their college-aged daughter, Hayley Smith; and their high-school-aged son, Steve Smith. Outside of the Smith family, there are three additional main characters, including Hayley's boyfriend turned husband, Jeff Fischer; the family's man-in-a-goldfish-body pet, Klaus; and most notably the family's zany alien, Roger, who is ""full of masquerades, brazenness, and shocking antics.""","['Animation', 'Comedy']",20,366,2005-02-06,2023-10-02,"['FOX', 'TBS']",1861,6.952,['en'],196.512,/mc3rG5M9dFVjMfaCFNfbD5gu2pK.jpg,0.7011650115707084
181,"Sex, Explained","From the biology of attraction to the history of birth control, explore the ins and outs of sex in this entertaining and enlightening series.",['Documentary'],1,5,2020-01-02,2020-01-02,['Netflix'],1856,6.553,['en'],17.276,/dPDuW7NL3iTNjiTsEhb30n89au4.jpg,0.659146939221153
182,Gossip Girl,An exclusive group of privileged teens from a posh prep school on Manhattan's Upper East Side whose lives revolve around the blog of the all-knowing albeit ultra-secretive Gossip Girl.,"['Drama', 'Mystery']",6,121,2007-09-19,2012-12-17,['The CW'],1852,8.302,['en'],102.347,/zVF9VSQ5GypVD9uRlM95O1LcVr3.jpg,0.8332739620438019
183,InuYasha,"Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbeknownst to Kagome, she is the reincarnation of priestess Kikyo and posseses the ""Jewel of Four Souls"" (the Shikon jewel). One ill-fated day, Kagome locates an ancient well near her home and is abruptly transported through the well and into a feudal Japan, inhabited by demons. There, she encounters Inuyasha, son of a powerful demon father and a human mother, who is pinned to a tree by an enchanted arrow.","['Animation', 'Sci-Fi', 'Action', 'Comedy', 'Mystery']",2,193,2000-10-16,2010-03-30,"['ANIMAX', 'Nippon TV', 'YTV']",1851,8.587,['ja'],89.589,/gtFE5NhVHpa9oX1PU9szsUS8ZPX.jpg,0.8614141106310357
184,Love Alarm,"Love Alarm is an app that tells you if someone within a 10-meter radius has a crush on you. It quickly becomes a social phenomenon. While everyone talks about it and uses it to test their love and popularity, Jojo is one of the few people who have yet to download the app. However, she soon faces a love triangle situation between Sun-oh whom she starts to have feelings for, and Hye-young, who has had a huge crush on her.","['Drama', 'Sci-Fi']",2,14,2019-08-22,2021-03-12,['Netflix'],1843,8.402,"['en', 'ko', 'pt']",28.929,/mXouvrZbn8YpZMURGvw30QK8qfo.jpg,0.839212825256437
185,The Legend of Korra,"Avatar Korra, a headstrong, rebellious, feisty young woman who continually challenges and breaks with tradition, is on her quest to become a fully realized Avatar. In this story, the Avatar struggles to find balance within herself.","['Action', 'Animation', 'Drama', 'Family', 'Sci-Fi']",4,52,2012-04-14,2014-12-18,['Nickelodeon'],1841,8.253,['en'],47.604,/hmrNfrUl3FFaymDj6Iw5oKQjIs2.jpg,0.8234357789676316
9999,Firefly,"In the year 2517, after the arrival of humans in a new star system, follow the adventures of the renegade crew of Serenity, a ""Firefly-class"" spaceship. The ensemble cast portrays the nine characters who live on Serenity.","['Drama', 'Action', 'Sci-Fi']",1,11,2002-09-20,2002-12-20,['FOX'],1830,8.331,['en'],43.565,/leEGz2TzhnfzEoPJJlf0ZWbozBR.jpg,0.8262516202183743
187,Lupin,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family.","['Crime', 'Drama', 'Mystery']",2,17,2021-01-08,2021-06-11,['Netflix'],1824,7.769,['fr'],124.785,/aY7zv2pfk9H0QxaaL3PBjvalbKQ.jpg,0.767987330193912
188,She-Hulk: Attorney at Law,"Jennifer Walters navigates the complicated life of a single, 30-something attorney who also happens to be a green 6-foot-7-inch superpowered hulk.","['Comedy', 'Sci-Fi']",1,9,2022-08-18,2022-10-13,['Disney+'],1816,6.378,['en'],45.06,/eljErfkQUcFUgQkI4I1soZcH8MW.jpg,0.6277178217176265
189,The Wheel of Time,"Follow Moiraine, a member of the shadowy and influential all-female organization called the “Aes Sedai” as she embarks on a dangerous, world-spanning journey with five young men and women. Moiraine believes one of them might be the reincarnation of an incredibly powerful individual, whom prophecies say will either save humanity or destroy it.","['Sci-Fi', 'Drama']",2,16,2021-11-18,2023-09-28,['Prime Video'],1809,7.74,['en'],489.993,/oahCTL082gwu6fYrxEOBe546uvB.jpg,0.7588284890750919
190,The Crown,"The gripping, decades-spanning inside story of Her Majesty Queen Elizabeth II and the Prime Ministers who shaped Britain's post-war destiny.     The Crown tells the inside story of two of the most famous addresses in the world – Buckingham Palace and 10 Downing Street – and the intrigues, love lives and machinations behind the great events that shaped the second half of the 20th century. Two houses, two courts, one Crown.",['Drama'],6,55,2016-11-04,2022-11-09,['Netflix'],1794,8.236,['en'],52.673,/63u7DCLSWo8TNBZUhu7fEXj6kX1.jpg,0.800760932362612
191,Regular Show,"Two bored groundskeepers, Mordecai (a six-foot-tall blue jay) and Rigby (a hyperactive raccoon) are best friends who spend their days trying to entertain themselves by any means necessary, much to the displeasure of their boss. Their everyday pursuits often lead to things spiraling out of control and into the surreal.","['Animation', 'Comedy']",8,257,2010-09-06,2017-01-16,['Cartoon Network'],1783,8.655,['en'],190.447,/5iWJwQPBusPTV7G7n5TABNRP7tO.jpg,0.8363393198778425
192,Dragon Ball GT,"Ten years have passed since Goku left his friends and family to hone his skills. But Goku soon finds himself helpless against the mystical power of the Dragon Balls and an accidental wish made by the devious Emperor Pilaf. The wish; that Goku once again become a child! Goku, together with Trunks, and his own granddaughter Pan, blast off into the outer reaches of space in search of the mysterious Blackstar Dragon Balls. But these Dragon Balls have a fatal secret: if not collected within one year Earth will be destroyed.","['Animation', 'Action', 'Sci-Fi']",1,64,1996-02-07,1997-11-19,['Fuji TV'],1783,7.678,['ja'],18.346,/aJOlYXjxb5IvnTsO4I1tmFpC7GH.jpg,0.7419310569638448
193,Twin Peaks,The body of Laura Palmer is washed up on a beach near the small Washington state town of Twin Peaks. FBI Special Agent Dale Cooper is called in to investigate her strange demise only to uncover a web of mystery that ultimately leads him deep into the heart of the surrounding woodland and his very own soul.,"['Drama', 'Mystery']",3,48,0000-00-00,2017-09-03,"['ABC', 'Showtime']",1775,8.295,"['nn', 'en', 'af', 'is']",197.043,/j5w04XEuFv85N3RIovXBJIHxjSb.jpg,0.7979558218424281
194,La Reina del Sur,"After years of blood, sweat and tears, a woman of humble origin ends up becoming a drug trafficking legend, with all that that means...","['Drama', 'Crime']",3,183,2011-02-28,32/13/2021,['Telemundo'],1769,7.839,['es'],107.222,/mWGLIaVFXyalsSbstiwletjKFUC.jpg,0.7515408597441814
